Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-26761.033991,nan,nan,-0.203,0.113,1.036,nan,nan
-26761.053426,nan,nan,-0.203,0.117,1.036,nan,nan
-26761.07286,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.092295,nan,nan,-0.207,0.117,1.032,nan,nan
-26761.111729,nan,nan,-0.199,0.117,1.036,nan,nan
-26761.131164,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.150599,nan,nan,-0.207,0.117,1.036,nan,nan
-26761.170033,nan,nan,-0.203,0.121,1.032,nan,nan
-26761.189468,nan,nan,-0.207,0.121,1.032,nan,nan
-26761.208902,nan,nan,-0.199,0.121,1.036,nan,nan
-26761.228337,nan,nan,-0.203,0.117,1.028,nan,nan
-26761.247771,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.267206,nan,nan,-0.203,0.121,1.028,nan,nan
-26761.286641,nan,nan,-0.203,0.121,1.036,nan,nan
-26761.306075,nan,nan,-0.203,0.121,1.036,nan,nan
-26761.32551,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.344944,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.364379,nan,nan,-0.199,0.121,1.032,nan,nan
-26761.383813,nan,nan,-0.207,0.113,1.028,nan,nan
-26761.403248,nan,nan,-0.199,0.117,1.04,nan,nan
-26761.422683,nan,nan,-0.199,0.117,1.032,nan,nan
-26761.442117,nan,nan,-0.203,0.117,1.036,nan,nan
-26761.461552,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.480986,nan,nan,-0.207,0.117,1.04,nan,nan
-26761.500421,nan,nan,-0.207,0.117,1.036,nan,nan
-26761.519855,nan,nan,-0.207,0.117,1.036,nan,nan
-26761.53929,nan,nan,-0.207,0.117,1.032,nan,nan
-26761.558725,nan,nan,-0.199,0.121,1.036,nan,nan
-26761.578159,nan,nan,-0.199,0.121,1.032,nan,nan
-26761.597594,nan,nan,-0.207,0.117,1.032,nan,nan
-26761.617028,nan,nan,-0.203,0.125,1.036,nan,nan
-26761.636463,nan,nan,-0.203,0.121,1.036,nan,nan
-26761.655897,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.675332,nan,nan,-0.199,0.121,1.032,nan,nan
-26761.694767,nan,nan,-0.199,0.121,1.032,nan,nan
-26761.714201,nan,nan,-0.203,0.121,1.032,nan,nan
-26761.733636,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.75307,nan,nan,-0.203,0.117,1.036,nan,nan
-26761.772505,nan,nan,-0.199,0.117,1.036,nan,nan
-26761.791939,nan,nan,-0.207,0.121,1.036,nan,nan
-26761.811374,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.830809,nan,nan,-0.203,0.121,1.032,nan,nan
-26761.850243,nan,nan,-0.203,0.117,1.036,nan,nan
-26761.869678,nan,nan,-0.203,0.121,1.036,nan,nan
-26761.889112,nan,nan,-0.203,0.113,1.036,nan,nan
-26761.908547,nan,nan,-0.203,0.117,1.032,nan,nan
-26761.927981,nan,nan,-0.203,0.117,1.04,nan,nan
-26761.947416,nan,nan,-0.207,0.117,1.032,nan,nan
-26761.966851,nan,nan,-0.203,0.121,1.032,nan,nan
-26761.986285,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.00572,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.025154,nan,nan,-0.207,0.121,1.032,nan,nan
-26762.044589,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.064023,nan,nan,-0.207,0.113,1.04,nan,nan
-26762.083458,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.102893,nan,nan,-0.199,0.121,1.032,nan,nan
-26762.122327,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.141762,nan,nan,-0.199,0.121,1.032,nan,nan
-26762.161196,nan,nan,-0.207,0.117,1.036,nan,nan
-26762.180631,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.200065,nan,nan,-0.207,0.121,1.032,nan,nan
-26762.2195,nan,nan,-0.207,0.117,1.04,nan,nan
-26762.238935,nan,nan,-0.199,0.121,1.032,nan,nan
-26762.258369,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.277804,nan,nan,-0.207,0.117,1.04,nan,nan
-26762.297238,nan,nan,-0.199,0.117,1.032,nan,nan
-26762.316673,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.336107,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.355542,nan,nan,-0.203,0.121,1.036,nan,nan
-26762.374977,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.394411,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.413846,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.43328,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.452715,nan,nan,-0.199,0.113,1.032,nan,nan
-26762.472149,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.491584,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.511019,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.530453,nan,nan,-0.203,0.113,1.032,nan,nan
-26762.549888,nan,nan,-0.203,0.121,1.028,nan,nan
-26762.569322,nan,nan,-0.203,0.121,1.036,nan,nan
-26762.588757,nan,nan,-0.203,0.121,1.028,nan,nan
-26762.608191,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.627626,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.647061,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.666495,nan,nan,-0.207,0.117,1.032,nan,nan
-26762.68593,nan,nan,-0.207,0.117,1.032,nan,nan
-26762.705364,nan,nan,-0.203,0.121,1.036,nan,nan
-26762.724799,nan,nan,-0.207,0.117,1.032,nan,nan
-26762.744233,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.763668,nan,nan,-0.207,0.121,1.036,nan,nan
-26762.783103,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.802537,nan,nan,-0.207,0.117,1.032,nan,nan
-26762.821972,nan,nan,-0.203,0.121,1.028,nan,nan
-26762.841406,nan,nan,-0.203,0.117,1.032,nan,nan
-26762.860841,nan,nan,-0.203,0.117,1.028,nan,nan
-26762.880275,nan,nan,-0.207,0.117,1.032,nan,nan
-26762.89971,nan,nan,-0.203,0.121,1.032,nan,nan
-26762.919145,nan,nan,-0.199,0.121,1.036,nan,nan
-26762.938579,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.958014,nan,nan,-0.203,0.117,1.036,nan,nan
-26762.977448,nan,nan,-0.207,0.121,1.036,nan,nan
-26762.996883,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.016317,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.035752,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.055187,nan,nan,-0.203,0.121,1.036,nan,nan
-26763.074621,nan,nan,-0.211,0.117,1.036,nan,nan
-26763.094056,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.11349,nan,nan,-0.203,0.121,1.036,nan,nan
-26763.132925,nan,nan,-0.207,0.117,1.032,nan,nan
-26763.152359,nan,nan,-0.203,0.121,1.032,nan,nan
-26763.171794,nan,nan,-0.211,0.117,1.032,nan,nan
-26763.191229,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.210663,nan,nan,-0.203,0.121,1.04,nan,nan
-26763.230098,nan,nan,-0.207,0.117,1.032,nan,nan
-26763.249532,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.268967,nan,nan,-0.207,0.117,1.032,nan,nan
-26763.288401,nan,nan,-0.203,0.121,1.036,nan,nan
-26763.307836,nan,nan,-0.203,0.121,1.032,nan,nan
-26763.327271,nan,nan,-0.199,0.121,1.032,nan,nan
-26763.346705,nan,nan,-0.203,0.117,1.028,nan,nan
-26763.36614,nan,nan,-0.199,0.121,1.032,nan,nan
-26763.385574,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.405009,nan,nan,-0.199,0.121,1.036,nan,nan
-26763.424443,nan,nan,-0.207,0.121,1.032,nan,nan
-26763.443878,nan,nan,-0.207,0.117,1.028,nan,nan
-26763.463312,nan,nan,-0.199,0.121,1.036,nan,nan
-26763.482747,nan,nan,-0.203,0.121,1.028,nan,nan
-26763.502182,nan,nan,-0.207,0.117,1.032,nan,nan
-26763.521616,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.541051,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.560485,nan,nan,-0.207,0.121,1.036,nan,nan
-26763.57992,nan,nan,-0.199,0.125,1.036,nan,nan
-26763.599354,nan,nan,-0.203,0.121,1.036,nan,nan
-26763.618789,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.638224,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.657658,nan,nan,-0.203,0.121,1.032,nan,nan
-26763.677093,nan,nan,-0.203,0.121,1.032,nan,nan
-26763.696527,nan,nan,-0.203,0.121,1.032,nan,nan
-26763.715962,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.735396,nan,nan,-0.203,0.113,1.032,nan,nan
-26763.754831,nan,nan,-0.199,0.121,1.032,nan,nan
-26763.774266,nan,nan,-0.207,0.117,1.036,nan,nan
-26763.7937,nan,nan,-0.207,0.117,1.036,nan,nan
-26763.813135,nan,nan,-0.203,0.117,1.036,nan,nan
-26763.832569,nan,nan,-0.203,0.121,1.028,nan,nan
-26763.852004,nan,nan,-0.203,0.117,1.032,nan,nan
-26763.871438,nan,nan,-0.207,0.117,1.036,nan,nan
-26763.890873,nan,nan,-0.203,0.121,1.028,nan,nan
-26763.910308,nan,nan,-0.203,0.113,1.028,nan,nan
-26763.929742,nan,nan,-0.207,0.121,1.036,nan,nan
-26763.949177,nan,nan,-0.203,0.121,1.032,nan,nan
-26763.968611,nan,nan,-0.203,0.125,1.036,nan,nan
-26763.988046,nan,nan,-0.203,0.121,1.036,nan,nan
-26764.00748,nan,nan,-0.207,0.121,1.036,nan,nan
-26764.026915,nan,nan,-0.203,0.121,1.032,nan,nan
-26764.04635,nan,nan,-0.199,0.117,1.032,nan,nan
-26764.065784,nan,nan,-0.203,0.117,1.028,nan,nan
-26764.085219,nan,nan,-0.203,0.121,1.032,nan,nan
-26764.104653,nan,nan,-0.203,0.121,1.036,nan,nan
-26764.124088,nan,nan,-0.207,0.117,1.036,nan,nan
-26764.143522,nan,nan,-0.203,0.121,1.036,nan,nan
-26764.162957,nan,nan,-0.203,0.121,1.028,nan,nan
-26764.182392,nan,nan,-0.207,0.121,1.028,nan,nan
-26764.201826,nan,nan,-0.203,0.117,1.032,nan,nan
-26764.221261,nan,nan,-0.203,0.117,1.036,nan,nan
-26764.240695,nan,nan,-0.199,0.121,1.032,nan,nan
-26764.26013,nan,nan,-0.203,0.125,1.036,nan,nan
-26764.279564,nan,nan,-0.203,0.117,1.036,nan,nan
