Time-stamp,Atmospheric pressure (Bar),Accel_x,Accel_y,Accel_z,Temperature (°C),Unnamed:6,Unnamed:7
-55736.119702,nan,nan,0.938,-0.051,0.131,nan,nan
-55736.160247,nan,nan,0.949,-0.051,0.127,nan,nan
-55736.200792,nan,nan,0.942,-0.055,0.135,nan,nan
-55736.241337,nan,nan,0.938,-0.051,0.127,nan,nan
-55736.281882,nan,nan,0.926,-0.051,0.123,nan,nan
-55736.322427,nan,nan,0.918,-0.046,0.143,nan,nan
-55736.362972,nan,nan,0.961,-0.042,0.156,nan,nan
-55736.403517,nan,nan,0.946,-0.055,0.123,nan,nan
-55736.444062,nan,nan,0.946,-0.046,0.131,nan,nan
-55736.484606,nan,nan,0.938,-0.051,0.127,nan,nan
-55736.525151,nan,nan,0.946,-0.051,0.127,nan,nan
-55736.565696,nan,nan,0.942,-0.046,0.127,nan,nan
-55736.606241,nan,nan,0.934,-0.051,0.131,nan,nan
-55736.646786,nan,nan,0.946,-0.046,0.131,nan,nan
-55736.687331,nan,nan,0.938,-0.051,0.135,nan,nan
-55736.727876,nan,nan,0.942,-0.042,0.135,nan,nan
-55736.768421,nan,nan,0.946,-0.051,0.135,nan,nan
-55736.808966,nan,nan,0.946,-0.051,0.139,nan,nan
-55736.849511,nan,nan,0.946,-0.051,0.139,nan,nan
-55736.890056,nan,nan,0.934,-0.051,0.139,nan,nan
-55736.930601,nan,nan,0.946,-0.046,0.131,nan,nan
-55736.971146,nan,nan,0.942,-0.051,0.131,nan,nan
-55737.01169,nan,nan,0.934,-0.046,0.131,nan,nan
-55737.052235,nan,nan,0.938,-0.051,0.131,nan,nan
-55737.09278,nan,nan,0.938,-0.046,0.131,nan,nan
-55737.133325,nan,nan,0.942,-0.051,0.139,nan,nan
-55737.17387,nan,nan,0.946,-0.046,0.135,nan,nan
-55737.214415,nan,nan,0.942,-0.042,0.139,nan,nan
-55737.25496,nan,nan,0.942,-0.046,0.135,nan,nan
-55737.295505,nan,nan,0.942,-0.046,0.135,nan,nan
-55737.33605,nan,nan,0.946,-0.051,0.131,nan,nan
-55737.376595,nan,nan,0.949,-0.046,0.131,nan,nan
-55737.41714,nan,nan,0.942,-0.046,0.131,nan,nan
-55737.457685,nan,nan,0.946,-0.046,0.139,nan,nan
-55737.498229,nan,nan,0.942,-0.046,0.131,nan,nan
-55737.538774,nan,nan,0.938,-0.051,0.131,nan,nan
-55737.579319,nan,nan,0.942,-0.051,0.127,nan,nan
-55737.619864,nan,nan,0.938,-0.046,0.135,nan,nan
-55737.660409,nan,nan,0.946,-0.038,0.131,nan,nan
-55737.700954,nan,nan,0.942,-0.046,0.131,nan,nan
-55737.741499,nan,nan,0.942,-0.042,0.131,nan,nan
-55737.782044,nan,nan,0.942,-0.046,0.127,nan,nan
-55737.822589,nan,nan,0.942,-0.046,0.127,nan,nan
-55737.863134,nan,nan,0.938,-0.051,0.131,nan,nan
-55737.903679,nan,nan,0.942,-0.051,0.131,nan,nan
-55737.944224,nan,nan,0.946,-0.046,0.131,nan,nan
-55737.984769,nan,nan,0.942,-0.051,0.135,nan,nan
-55738.025313,nan,nan,0.942,-0.051,0.131,nan,nan
-55738.065858,nan,nan,0.946,-0.046,0.135,nan,nan
-55738.106403,nan,nan,0.946,-0.046,0.131,nan,nan
-55738.146948,nan,nan,0.949,-0.046,0.135,nan,nan
-55738.187493,nan,nan,0.946,-0.051,0.139,nan,nan
-55738.228038,nan,nan,0.942,-0.051,0.135,nan,nan
-55738.268583,nan,nan,0.942,-0.051,0.135,nan,nan
-55738.309128,nan,nan,0.946,-0.046,0.131,nan,nan
-55738.349673,nan,nan,0.942,-0.046,0.131,nan,nan
-55738.390218,nan,nan,0.938,-0.051,0.131,nan,nan
-55738.430763,nan,nan,0.946,-0.051,0.135,nan,nan
-55738.471308,nan,nan,0.938,-0.046,0.123,nan,nan
-55738.511853,nan,nan,0.946,-0.042,0.131,nan,nan
-55738.552397,nan,nan,0.942,-0.051,0.127,nan,nan
-55738.592942,nan,nan,0.938,-0.051,0.131,nan,nan
-55738.633487,nan,nan,0.942,-0.046,0.131,nan,nan
-55738.674032,nan,nan,0.942,-0.042,0.131,nan,nan
-55738.714577,nan,nan,0.953,-0.046,0.135,nan,nan
-55738.755122,nan,nan,0.946,-0.046,0.131,nan,nan
-55738.795667,nan,nan,0.949,-0.051,0.131,nan,nan
-55738.836212,nan,nan,0.942,-0.051,0.135,nan,nan
-55738.876757,nan,nan,0.942,-0.051,0.143,nan,nan
-55738.917302,nan,nan,0.946,-0.055,0.139,nan,nan
-55738.957847,nan,nan,0.946,-0.051,0.127,nan,nan
-55738.998392,nan,nan,0.946,-0.051,0.131,nan,nan
-55739.038937,nan,nan,0.942,-0.051,0.131,nan,nan
-55739.079481,nan,nan,0.934,-0.051,0.131,nan,nan
-55739.120026,nan,nan,0.938,-0.042,0.131,nan,nan
-55739.160571,nan,nan,0.949,-0.046,0.135,nan,nan
-55739.201116,nan,nan,0.946,-0.046,0.135,nan,nan
-55739.241661,nan,nan,0.946,-0.051,0.135,nan,nan
-55739.282206,nan,nan,0.938,-0.046,0.135,nan,nan
-55739.322751,nan,nan,0.942,-0.042,0.135,nan,nan
-55739.363296,nan,nan,0.942,-0.051,0.139,nan,nan
-55739.403841,nan,nan,0.946,-0.051,0.131,nan,nan
-55739.444386,nan,nan,0.942,-0.051,0.139,nan,nan
-55739.484931,nan,nan,0.946,-0.051,0.135,nan,nan
-55739.525476,nan,nan,0.942,-0.046,0.135,nan,nan
-55739.566021,nan,nan,0.942,-0.042,0.139,nan,nan
-55739.606565,nan,nan,0.942,-0.051,0.135,nan,nan
-55739.64711,nan,nan,0.946,-0.046,0.131,nan,nan
-55739.687655,nan,nan,0.938,-0.046,0.135,nan,nan
-55739.7282,nan,nan,0.942,-0.051,0.135,nan,nan
-55739.768745,nan,nan,0.949,-0.046,0.131,nan,nan
-55739.80929,nan,nan,0.942,-0.051,0.135,nan,nan
-55739.849835,nan,nan,0.946,-0.046,0.135,nan,nan
-55739.89038,nan,nan,0.942,-0.046,0.131,nan,nan
-55739.930925,nan,nan,0.949,-0.051,0.135,nan,nan
-55739.97147,nan,nan,0.942,-0.046,0.131,nan,nan
-55740.012015,nan,nan,0.938,-0.051,0.127,nan,nan
-55740.05256,nan,nan,0.942,-0.051,0.127,nan,nan
-55740.093104,nan,nan,0.942,-0.046,0.135,nan,nan
-55740.133649,nan,nan,0.942,-0.051,0.139,nan,nan
-55740.174194,nan,nan,0.946,-0.051,0.135,nan,nan
-55740.214739,nan,nan,0.938,-0.051,0.135,nan,nan
-55740.255284,nan,nan,0.946,-0.051,0.135,nan,nan
-55740.295829,nan,nan,0.942,-0.051,0.135,nan,nan
-55740.336374,nan,nan,0.938,-0.046,0.135,nan,nan
-55740.376919,nan,nan,0.942,-0.051,0.135,nan,nan
-55740.417464,nan,nan,0.942,-0.051,0.135,nan,nan
-55740.458009,nan,nan,0.938,-0.055,0.131,nan,nan
-55740.498554,nan,nan,0.946,-0.046,0.135,nan,nan
-55740.539099,nan,nan,0.946,-0.046,0.131,nan,nan
